date,area_name,population,water_supplied_liters,water_consumed_liters,temperature_c,rainfall_mm,humidity_percent,complaints_count,leak_reports,supply_status
2024-01-01,Gandhipuram,18795,191932,309178,35.0,83.6,67.3,22,10,Delayed
2024-01-01,RS Puram,17423,235203,241335,33.7,2.9,93.5,29,5,Low Pressure
2024-01-01,Saibaba Colony,8311,163355,285796,32.1,85.6,45.4,24,0,Delayed
2024-01-01,Peelamedu,21942,209503,180523,38.5,32.6,49.5,2,4,Delayed
2024-01-01,Ukkadam,11838,316840,191699,38.0,78.9,64.3,25,4,Low Pressure
2024-01-01,Singanallur,24870,214555,98555,29.9,4.8,90.5,3,1,Low Pressure
2024-01-01,Ganapathy,14653,300181,221829,21.6,117.9,67.5,9,3,Low Pressure
2024-01-01,Saravanampatti,14534,100397,307750,30.4,134.6,87.2,17,4,No Supply
2024-01-01,Kalapatti,15185,254776,267851,31.9,38.6,59.8,0,8,Delayed
2024-01-01,Thudiyalur,5568,180151,183767,21.1,114.2,80.3,34,2,Normal
2024-01-01,Koundampalayam,15666,194633,154488,37.5,119.0,67.5,32,6,Delayed
2024-01-01,Vadavalli,14837,183684,323109,37.0,66.1,51.0,13,2,Normal
2024-01-01,Race Course,20412,158806,140982,21.7,99.5,50.5,12,2,Delayed
2024-01-01,Town Hall,20247,308550,172096,26.7,71.2,90.4,22,6,Normal
2024-01-01,Sidhapudur,4678,309002,300396,25.1,10.8,59.5,21,11,Low Pressure
2024-01-01,Avinashi Road,13921,124044,159556,36.7,112.5,54.3,29,10,No Supply
2024-01-01,Ondipudur,13230,104262,211152,25.1,59.8,85.9,2,6,Low Pressure
2024-01-01,Hope College,24959,196602,275928,29.7,96.9,58.5,23,10,Low Pressure
2024-01-01,Chinniyampalayam,20879,128840,168451,27.5,136.0,93.1,1,2,Normal
2024-01-01,Neelikonampalayam,4636,276688,306951,21.7,85.3,70.1,22,4,No Supply
2024-01-01,Podanur,10392,317426,227789,23.6,68.5,94.3,31,6,No Supply
2024-01-01,Kuniyamuthur,22894,158506,159751,25.3,102.0,63.4,33,5,Low Pressure
2024-01-01,Sundarapuram,4930,170078,72671,36.0,44.9,54.3,28,2,No Supply
2024-01-01,Perur,5811,172547,84754,35.6,48.8,49.8,32,7,No Supply
2024-01-01,Madukkarai,5385,333255,182874,27.1,15.9,91.2,29,9,Delayed
2024-01-01,Kurichi,19646,180975,157512,30.3,36.5,94.8,11,4,Normal
2024-01-01,Kuniamuthur,10158,234088,319544,27.3,101.6,89.9,23,5,No Supply
2024-01-01,Malumichampatti,15183,203946,82711,35.1,93.7,74.0,24,2,Normal
2024-01-01,Selvapuram,17172,238047,169121,29.7,62.8,94.7,32,3,Normal
2024-01-01,Vellalore,23877,195059,108871,32.7,118.9,77.9,32,11,Delayed
2024-01-01,Chettipalayam,11050,341974,166381,38.5,55.0,89.6,26,10,Low Pressure
2024-01-01,Irugur,18636,196672,275732,25.1,69.9,73.6,16,11,No Supply
2024-01-01,Sulur,21589,142989,228274,34.5,133.4,61.5,30,2,No Supply
2024-01-01,Nallampalayam,24472,184019,115726,26.5,26.7,58.4,2,1,Normal
2024-01-01,Annur,3569,96631,292289,32.1,138.6,52.0,26,9,Low Pressure
2024-01-01,Mettupalayam Road,15249,257392,208823,33.5,98.3,63.0,28,9,Delayed
2024-01-01,PN Palayam,19921,295362,79592,32.0,11.4,45.3,19,0,No Supply
2024-01-01,Tatabad,9655,297549,120031,21.9,124.1,46.4,33,1,No Supply
2024-01-01,Lakshmi Mills,13966,184862,280229,26.9,21.7,94.1,21,9,Low Pressure
2024-01-01,Five Roads,12907,130313,234078,27.5,17.8,71.1,4,6,No Supply
2024-01-01,Puliakulam,24253,257484,239407,30.6,75.7,76.9,15,1,No Supply
2024-01-01,Udayampalayam,16417,282866,136672,28.2,60.7,82.2,25,4,Low Pressure
2024-01-01,Ramanathapuram,11308,328093,233062,28.7,96.4,47.9,0,1,No Supply
2024-01-01,Trichy Road,10805,65237,70056,32.9,39.2,92.7,4,5,Normal
2024-01-01,Peedampalli,11130,276139,117215,23.9,16.8,62.1,27,4,Delayed
2024-01-01,Kovilpalayam,16296,111293,128781,33.7,66.4,49.9,20,6,No Supply
2024-01-01,Idigarai,7452,348790,73049,38.1,124.1,58.0,9,9,Delayed
2024-01-01,NGGO Colony,5489,331967,241232,30.7,95.8,75.8,15,6,Low Pressure
2024-01-01,Sitra,19347,279295,241962,35.4,94.8,73.7,32,0,Normal
2024-01-01,Vilangudi,5738,311492,88304,32.7,28.9,58.7,11,1,Normal
2024-01-01,Edayarpalayam,5082,87350,143008,32.8,54.0,79.1,33,2,Normal
2024-01-01,Karumathampatti,23358,63267,132745,33.5,88.1,88.9,24,4,Normal
2024-01-01,Kovaipudur,14657,98756,68888,31.2,80.6,81.6,17,0,Delayed
2024-01-01,Telungupalayam,5143,279798,111476,25.3,95.2,82.0,34,8,Low Pressure
2024-01-01,Sivanandhapuram,16584,170448,64397,29.9,54.5,59.9,18,0,No Supply
2024-01-01,Appanaickenpatti,19779,255004,250968,26.7,133.0,92.5,18,9,Delayed
2024-01-01,Vadavalli West,11335,186020,152795,26.9,94.2,82.6,22,8,Delayed
2024-01-01,Kamarajar Road,21540,149780,202617,38.5,139.4,47.8,34,6,Normal
2024-01-01,Red Fields,7330,149930,56801,38.4,96.3,86.8,16,5,Delayed
2024-01-01,Bharathi Nagar,24677,237804,231415,22.3,115.1,80.3,4,4,Low Pressure
2024-01-01,Balaji Nagar,16807,217504,288067,25.3,127.1,74.6,5,11,Delayed
2024-01-01,Sri Ram Nagar,4810,263196,298683,31.1,59.4,90.3,2,1,No Supply
2024-01-01,Vivekananda Nagar,6709,183961,80355,23.1,16.5,77.5,0,2,Normal
2024-01-01,Shanmuga Nagar,17683,121629,280907,26.1,121.6,56.2,5,9,No Supply
2024-01-01,Subramaniyapuram,15972,189695,284286,37.0,73.9,94.6,34,2,No Supply
2024-01-01,Ram Nagar,14704,174065,67640,24.9,41.2,94.8,2,6,Normal
2024-01-01,Alagesan Road,10114,71023,71447,28.1,14.9,61.8,27,3,Low Pressure
2024-01-01,Nehru Nagar,6719,165787,212993,25.8,50.4,58.0,26,5,Delayed
2024-01-01,Sowripalayam,10312,226619,132844,23.4,10.7,92.0,4,8,Low Pressure
2024-01-01,Avarampalayam,3009,286156,218964,21.5,52.7,85.5,31,0,Delayed
2024-01-01,Chokkampudur,7158,253752,319114,36.2,117.4,68.4,34,0,Normal
